"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Storey et al. 2003) < 0.5)"
Ror2	12	8	0.584962500721156	0.583929721806607	0.895857812964204	0.370328708101078	0.663021667755774	0.47262279660189	TRUE
Lrrc74b	12	8	0.584962500721156	0.583929721806607	0.895857812964204	0.370328708101078	0.663021667755774	0.47262279660189	TRUE
Xkrx	12	8	0.584962500721156	0.583929721806607	0.895857812964204	0.370328708101078	0.663021667755774	0.47262279660189	TRUE
Morn1	20	26	-0.378511623253729	-0.379544402168278	-0.888330172159493	0.374363174323519	0.667413881371086	0.475814856124952	TRUE
Tsacc	28	35	-0.321928094887363	-0.322960873801911	-0.885661175750338	0.375800135293965	0.66929038288066	0.477152657631211	TRUE
Duox1	26	20	0.378511623253729	0.37747884433918	0.883495698692238	0.376968505494148	0.670556709409104	0.478024927952873	TRUE
Tmem116	26	20	0.378511623253729	0.37747884433918	0.883495698692238	0.376968505494148	0.670556709409104	0.478024927952873	TRUE
Wisp2	14	19	-0.440572591385981	-0.44160537030053	-0.874109010294951	0.382058891073	0.674785810404591	0.481039977854937	TRUE
Slc6a12	14	19	-0.440572591385981	-0.44160537030053	-0.874109010294951	0.382058891073	0.674785810404591	0.481039977854937	TRUE
Hist1h2bg	21	27	-0.362570079384708	-0.363602858299256	-0.869629097415916	0.384503131040459	0.677342116132864	0.48289292526107	TRUE
Zfp354b	36	29	0.31194400631474	0.310911227400192	0.866209074662862	0.386375517803965	0.679351753028456	0.484325642075973	TRUE
Ppp4r4	27	21	0.362570079384708	0.361537300470159	0.864688901953811	0.387209562404899	0.680217176786207	0.484881469855712	TRUE
Serinc4	27	21	0.362570079384708	0.361537300470159	0.864688901953811	0.387209562404899	0.680217176786207	0.484881469855712	TRUE
5430405H02Rik	27	21	0.362570079384708	0.361537300470159	0.864688901953811	0.387209562404899	0.680217176786207	0.484881469855712	TRUE
