"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.5)"
"Dennd2c",504,385,0.388565287917652,0.347472632943005,3.57466950862582,0.000350670565327821,0.0345795995767235,0.0339405997137166,TRUE
"Atg9b",498,380,0.390146323737133,0.349053668762485,3.56851717923732,0.00035900731766639,0.0349065576561782,0.0340503335012811,TRUE
"Zdhhc14",224,298,-0.411813598404558,-0.452906253379206,-3.5683112660665,0.000359289521181071,0.0346913993229278,0.0340503335012811,TRUE
"Zic2",0,12,-4.58496250072116,-4.6260551556958,-3.54879700902867,0.000386995286624711,0.0368546744193835,0.0361736332218734,TRUE
"Plekhg1",91,48,0.92283213947754,0.881739484502893,3.51354021866688,0.000442177467936231,0.0412619833166802,0.0404994990193056,TRUE
"Cyp4a12b",205,275,-0.423807708906575,-0.464900363881223,-3.51131178044463,0.000445901098172184,0.0413320591265736,0.0405682798913319,TRUE
"Ankrd61",3,18,-2.58496250072116,-2.6260551556958,-3.48927287125556,0.000484336460790647,0.0440144715740729,0.0432011237721774,TRUE
"Gm15708",23,5,2.20163386116965,2.160541206195,3.46792535328413,0.000524492959193222,0.0470487103524036,0.0461792925500623,TRUE
"Tdrd5",104,58,0.84245872301352,0.801366068038872,3.46162905750204,0.000536916623325559,0.0478544149405037,0.0469701084428703,TRUE
"Mmp2",471,567,-0.267621675329444,-0.308714330304092,-3.43994885346393,0.000581824127890435,0.0512005232543583,0.049732442852863,TRUE
"Acta1",63,105,-0.736965594166206,-0.778058249140853,-3.43937002592348,0.000583069687411689,0.0506687558360757,0.049732442852863,TRUE
"Gtf2ird2",454,346,0.391920259654189,0.350827604679541,3.42348334075643,0.000618240411555927,0.0533913955420721,0.0524047706286912,TRUE
"Tgfb1i1",76,121,-0.670935723831009,-0.712028378805657,-3.41768240571813,0.000631567576793066,0.054205651776116,0.053010006919288,TRUE
"Srl",284,202,0.491535636752887,0.450442981778239,3.41700148867534,0.00063314933393394,0.0540080266197393,0.053010006919288,TRUE
"Dixdc1",360,266,0.436570660828485,0.395478005853837,3.41002742681791,0.000649563468946524,0.0547365483165604,0.0536956044874822,TRUE
"Calhm2",291,208,0.484435624767191,0.443342969792544,3.40852882191863,0.000653141851379499,0.0547065319372323,0.0536956044874822,TRUE
"Hsd3b2",13,1,3.70043971814109,3.65934706316644,3.4058224576495,0.000659650620608675,0.0549208516703174,0.053905963784884,TRUE
"Trabd2b",26,55,-1.08091999538357,-1.12201265035822,-3.38193381622628,0.000719774837188705,0.0588691137427751,0.0577812655294518,TRUE
"Akap5",18,3,2.58496250072116,2.54386984574651,3.3800722050777,0.000724667893277349,0.0589227040241418,0.0578338655106743,TRUE
"Slc17a1",413,312,0.404595752557197,0.36350309758255,3.37578595927493,0.000736051572686883,0.0595003550385954,0.0584008420545261,TRUE
